driver_id,driver_name,pool,sim_type,phone,status
DRV00001,Driver 00001,Cikarang,B1 Umum,0813-0001-0001,Assigned
DRV00002,Driver 00002,Bandung,B1 Umum,0813-0002-0002,Available
DRV00003,Driver 00003,Semarang,B1 Umum,0813-0003-0003,Available
DRV00004,Driver 00004,Surabaya,B1 Umum,0813-0004-0004,Available
DRV00005,Driver 00005,Malang,B1 Umum,0813-0005-0005,Available
DRV00006,Driver 00006,Jakarta,B2 Umum,0813-0006-0006,Available
DRV00007,Driver 00007,Cikarang,B1 Umum,0813-0007-0007,Available
DRV00008,Driver 00008,Bandung,B1 Umum,0813-0008-0008,Available
DRV00009,Driver 00009,Semarang,B1 Umum,0813-0009-0009,Available
DRV00010,Driver 00010,Surabaya,B1 Umum,0813-0010-0010,Assigned
DRV00011,Driver 00011,Malang,B1 Umum,0813-0011-0011,Assigned
DRV00012,Driver 00012,Jakarta,B2 Umum,0813-0012-0012,Available
DRV00013,Driver 00013,Cikarang,B1 Umum,0813-0013-0013,Available
DRV00014,Driver 00014,Bandung,B1 Umum,0813-0014-0014,Available
DRV00015,Driver 00015,Semarang,B1 Umum,0813-0015-0015,Available
DRV00016,Driver 00016,Surabaya,B1 Umum,0813-0016-0016,Available
DRV00017,Driver 00017,Malang,B1 Umum,0813-0017-0017,Available
DRV00018,Driver 00018,Jakarta,B2 Umum,0813-0018-0018,Available
DRV00019,Driver 00019,Cikarang,B1 Umum,0813-0019-0019,Available
DRV00020,Driver 00020,Bandung,B1 Umum,0813-0020-0020,Assigned
DRV00021,Driver 00021,Semarang,B1 Umum,0813-0021-0021,Assigned
DRV00022,Driver 00022,Surabaya,B1 Umum,0813-0022-0022,Available
DRV00023,Driver 00023,Malang,B1 Umum,0813-0023-0023,Available
DRV00024,Driver 00024,Jakarta,B2 Umum,0813-0024-0024,Available
DRV00025,Driver 00025,Cikarang,B1 Umum,0813-0025-0025,Available
DRV00026,Driver 00026,Bandung,B1 Umum,0813-0026-0026,Available
DRV00027,Driver 00027,Semarang,B1 Umum,0813-0027-0027,Available
DRV00028,Driver 00028,Surabaya,B1 Umum,0813-0028-0028,Available
DRV00029,Driver 00029,Malang,B1 Umum,0813-0029-0029,Available
DRV00030,Driver 00030,Jakarta,B2 Umum,0813-0030-0030,Assigned
DRV00031,Driver 00031,Cikarang,B1 Umum,0813-0031-0031,Assigned
DRV00032,Driver 00032,Bandung,B1 Umum,0813-0032-0032,Available
DRV00033,Driver 00033,Semarang,B1 Umum,0813-0033-0033,Available
DRV00034,Driver 00034,Surabaya,B1 Umum,0813-0034-0034,Available
DRV00035,Driver 00035,Malang,B1 Umum,0813-0035-0035,Available
DRV00036,Driver 00036,Jakarta,B2 Umum,0813-0036-0036,Available
DRV00037,Driver 00037,Cikarang,B1 Umum,0813-0037-0037,Available
